;;;EUDAQ;Scope;;#Events;;Av.;;T set;T NTC;;;1-1;;;;;1-2;;;;;1-3;;;;;1-4;;;;;2-1;;;;;2-2;;;;;2-3;;;;;2-4;;
Date;Shifter Names;Time;RunNumber;Timestamp;Batch;This run;Total;Rate [Hz];Trigger;T [C];T [C];DUT Pos.;Sensor;V[V];V_real [V];I [µA];DUT Pos.;Sensor;V[V];V_real [V];I [µA];DUT Pos.;Sensor;V[V];V_real [V];I [µA];DUT Pos.;Sensor;V[V];V_real [V];I [µA];DUT Pos.;Sensor;V[V];V_real [V];I [µA];DUT Pos.;Sensor;V[V];V_real [V];I [µA];DUT Pos.;Sensor;V[V];V_real [V];I [µA];DUT Pos.;Sensor;V[V];V_real [V];I [µA]
7.9.;Edvin/Elisabeth;23:24;3656;1504818689;101;200262;200262;285;sc310&FEI4;22;25;1;W9-LGA35;250;;0,005;4;50D-GBGR2;300;;0,002;6;W4-LG12;120;;0,003;SiPM-AFP;SiPM-AFP;26,5;;35,5;3_0;W4-S215;125;;0,007;3_1;W4-S215;125;;0,007;3_2;W4-S215;125;;0,007;3_3;W4-S215;125;;0,007
7.9.;Edvin/Elisabeth;23:51;3657;1504820576;101;279007;479269;288;sc310&FEI4;22;25;1;W9-LGA35;250;;0,005;4;50D-GBGR2;300;;0,002;6;W4-LG12;120;;0,003;SiPM-AFP;SiPM-AFP;26,5;;35,5;3_0;W4-S215;125;;0,007;3_1;W4-S215;125;;0,007;3_2;W4-S215;125;;0,007;3_3;W4-S215;125;;0,007
8.9.;Weitao/Elisabeth;00:08;3658;1504821761;101;200288;679557;288;sc310&FEI4;22;25;1;W9-LGA35;250;;0,005;4;50D-GBGR2;300;;0,002;6;W4-LG12;120;;0,003;SiPM-AFP;SiPM-AFP;26,5;;35,5;3_0;W4-S215;125;;0,007;3_1;W4-S215;125;;0,007;3_2;W4-S215;125;;0,007;3_3;W4-S215;125;;0,007
8.9.;Weitao/Elisabeth;00:32;3659;1504822722;101;200236;879793;285;sc310&FEI4;22;25;1;W9-LGA35;250;;0,005;4;50D-GBGR2;300;;0,002;6;W4-LG12;120;;0,003;SiPM-AFP;SiPM-AFP;26,5;;36;3_0;W4-S215;125;;0,007;3_1;W4-S215;125;;0,007;3_2;W4-S215;125;;0,007;3_3;W4-S215;125;;0,007
8.9.;Weitao/Elisabeth;00:48;3660;1504823703;101;200291;1080084;290;sc310&FEI4;22;25;1;W9-LGA35;250;;0,005;4;50D-GBGR2;300;;0,002;6;W4-LG12;120;;0,003;SiPM-AFP;SiPM-AFP;26,5;;36;3_0;W4-S215;125;;0,007;3_1;W4-S215;125;;0,007;3_2;W4-S215;125;;0,007;3_3;W4-S215;125;;0,007
8.9.;Weitao/Elisabeth;01:40;3661;1504826378;102;200215;;180;sc310&FEI4;22;24;1;W9-LGA35;180;;0,0034;4;50D-GBGR2;220;;0,0017;6;W4-LG12;80;;0,0025;SiPM-AFP;SiPM-AFP;26,5;;36;3_0;W4-S215;80;;0,005;3_1;W4-S215;80;;0,005;3_2;W4-S215;80;;0,005;3_3;W4-S215;80;;0,005
8.9.;Weitao/Elisabeth;02:04;3662;1504827818;103;207667;;180;sc310&FEI4;22;24;1;W9-LGA35;200;;0,0035;4;50D-GBGR2;250;;0,0017;6;W4-LG12;90;;0,0025;SiPM-AFP;SiPM-AFP;26,5;;36;3_0;W4-S215;90;;0,005;3_1;W4-S215;90;;0,005;3_2;W4-S215;90;;0,005;3_3;W4-S215;90;;0,005
8.9.;Weitao/Elisabeth;02:25;3663;1504829144;104;200284;;178;sc310&FEI4;22;24;1;W9-LGA35;220;;0,0036;4;50D-GBGR2;280;;0,0018;6;W4-LG12;100;;0,0026;SiPM-AFP;SiPM-AFP;26,5;;36;3_0;W4-S215;100;;0,005;3_1;W4-S215;100;;0,005;3_2;W4-S215;100;;0,005;3_3;W4-S215;100;;0,005
8.9.;Weitao/Elisabeth;02:44;3664;1504830539;105;200239;;232;sc310&FEI4;22;24;1;W9-LGA35;230;;0,0037;4;50D-GBGR2;300;;0,0019;6;W4-LG12;110;;0,0026;SiPM-AFP;SiPM-AFP;26,5;;37;3_0;W4-S215;110;;0,006;3_1;W4-S215;110;;0,006;3_2;W4-S215;110;;0,006;3_3;W4-S215;110;;0,006
8.9.;Weitao/Elisabeth;02:56;3665;1504831602;106;210892;;398;sc310&FEI4;22;24;1;W9-LGA35;240;;0,0039;4;50D-GBGR2;310;;0,0019;6;W4-LG12;120;;0,0028;SiPM-AFP;SiPM-AFP;26,5;;37;3_0;W4-S215;120;;0,006;3_1;W4-S215;120;;0,006;3_2;W4-S215;120;;0,006;3_3;W4-S215;120;;0,006
8.9.;Weitao/Elisabeth;03:10;3666;1504832421;107;207375;;377;sc310&FEI4;22;24;1;W9-LGA35;250;;0,0044;4;50D-GBGR2;320;;0,002;6;W4-LG12;125;;0,0031;SiPM-AFP;SiPM-AFP;26,5;;37;3_0;W4-S215;125;;0,006;3_1;W4-S215;125;;0,006;3_2;W4-S215;125;;0,006;3_3;W4-S215;125;;0,006
8.9.;Weitao/Elisabeth;03:22;3667;1504833164;108;207418;207418;404;sc310&FEI4;22;24;1;W9-LGA35;230;;0,0037;4;50D-GBGR2;310;;0,0019;6;W4-LG12;125;;0,0031;SiPM-AFP;SiPM-AFP;26,5;;37;3_0;W4-S215;120;;0,006;3_1;W4-S215;120;;0,006;3_2;W4-S215;120;;0,006;3_3;W4-S215;120;;0,006
