;Telescope run;Temperature;nChannels;Name;Voltage;;;;;;;;;;;;;;;;
1504833898;3668;25;6;W9-LGA35;250;50D-GBGR2;250;W4-LG12;120;SiPM-AFP;26,5;W4-S215;125;W4-S215;125;W4-S215;125;W4-S215;125;;
1504834599;3669;25;6;W9-LGA35;250;50D-GBGR2;250;W4-LG12;120;SiPM-AFP;26,5;W4-S215;125;W4-S215;125;W4-S215;125;W4-S215;125;;
1504835228;3670;25;6;W9-LGA35;250;50D-GBGR2;250;W4-LG12;120;SiPM-AFP;26,5;W4-S215;125;W4-S215;125;W4-S215;125;W4-S215;125;;
1504836010;3671;25;6;W9-LGA35;250;50D-GBGR2;250;W4-LG12;120;SiPM-AFP;26,5;W4-S215;125;W4-S215;125;W4-S215;125;W4-S215;125;;
1504853409;3691;25;6;W9-LGA35;250;50D-GBGR2;250;W4-LG12;120;SiPM-AFP;26,5;W4-S215;125;W4-S215;125;W4-S215;125;W4-S215;125;;
1504854923;3693;24;6;W9-LGA35;180;50D-GBGR2;180;W4-LG12;80;SiPM-AFP;26,5;W4-S215;80;W4-S215;80;W4-S215;80;W4-S215;80;;
1504865427;3701;24;6;W9-LGA35;200;50D-GBGR2;200;W4-LG12;90;SiPM-AFP;26,5;W4-S215;90;W4-S215;90;W4-S215;90;W4-S215;90;;
1504888768;3740;24;6;W9-LGA35;220;50D-GBGR2;220;W4-LG12;100;SiPM-AFP;26,5;W4-S215;100;W4-S215;100;W4-S215;100;W4-S215;100;;
1504890115;3741;24;6;W9-LGA35;230;50D-GBGR2;230;W4-LG12;110;SiPM-AFP;26,5;W4-S215;110;W4-S215;110;W4-S215;110;W4-S215;110;;
1504891111;3742;24;6;W9-LGA35;240;50D-GBGR2;240;W4-LG12;120;SiPM-AFP;26,5;W4-S215;120;W4-S215;120;W4-S215;120;W4-S215;120;;
1504891913;3743;24;6;W9-LGA35;250;50D-GBGR2;250;W4-LG12;125;SiPM-AFP;26,5;W4-S215;125;W4-S215;125;W4-S215;125;W4-S215;125;;
